Star Name,Star Mass [Ms],Star Mass Error Lower [Ms],Star Mass Error Upper [Ms],Star Temperature [K],Star Temperature Error Lower [K],Star Temperature Error Upper [K],Star Radius [Rs],Star Radius Error Lower [Rs],Star Radius Error Upper [Rs],Star log(g),Star log(g) Error Lower,Star log(g) Error Upper,Star Metallicity,Star Metallicity Error Lower,Star Metallicity Error Upper,Metallicity Ratio,Star Age [Gyr],Star Age Error Lower [Gyr],Star Age Error Upper [Gyr],Star Spectral Type,Star Rotational Velocity [km/s],Star Rotational Velocity Error Lower [km/s],Star Rotational Velocity Error Upper [km/s],Star Rotation Period [days],Star Rotation Period Error Lower [days],Star Rotation Period Error Upper [days],Star Distance [pc],Star Distance Error Lower [pc],Star Distance Error Upper [pc],Star Parallax [mas],Star Parallax Error Lower [mas],Star Parallax Error Upper [mas],HD ID,HIP ID,TIC ID,Gaia ID,Star B Mag,Star V Mag,Star H Mag,Star I Mag,Star J Mag,Star Ks Mag,Star u Mag,Star g Mag,Star r Mag,Star i Mag,Star z Mag,Star TESS Mag,Star Kepler Mag,Star Gaia Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star W4 Mag,Star RA,Star Dec,Proper Motion [mas/yr],Total Proper Motion Error Lower [mas/yr],Total Proper Motion Error Upper [mas/yr],RA Proper Motion [mas/yr],RA Proper Motion Error Lower [mas/yr],RA Proper Motion Error Upper [mas/yr],Dec Proper Motion [mas/yr],Dec Proper Motion Error Lower [mas/yr],Dec Proper Motion Error Upper [mas/yr],Planet Name,Planet Radius [Rjup],Planet Radius Error Lower [Rjup],Planet Radius Error Upper [Rjup],Rp/Rs,Rp/Rs Error Lower,Rp/Rs Error Upper,Msin(i) [Mj],Msin(i) Error Lower [Mj],Msin(i) Error Upper [Mj],Planet Mass [Mjup],Planet Mass Error Lower [Mjup],Planet Mass Error Upper [Mjup],Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Error Lower [m/s],Radial Velocity Amplitude Error Upper [m/s],Planet Density [g/cm3],Planet Density Error Lower [g/cm3],Planet Density Error Upper [g/cm3],Planet Period [days],Planet Period Error Lower [days],Planet Period Error Upper [days],Planet Semi-major Axis [au],Planet Semi-major Axis Error Lower [au],Planet Semi-major Axis Error Upper [au],a/Rs,a/Rs Error Lower,a/Rs Error Upper,Inclination,Inclination Error Lower,Inclination Error Upper,Impact Parameter,Impact Parameter Error Lower,Impact Parameter Error Upper,Eccentricity,Eccentricity Error Lower,Eccentricity Error Upper,Periastron,Periastron Error Lower,Periastron Error Upper,Projected Obliquity,Projected Obliquity Error Lower,Projected Obliquity Error Upper,True Obliquity,True Obliquity Error Lower,True Obliquity Error Upper,Transit Mid Time,Transit Mid Time Error Lower [days],Transit Mid Time Error Upper [days],Transit Depth [%],Transit Depth Error Lower [%],Transit Depth Error Upper [%],Transit Duration [hrs],Transit Duration Error Lower [hrs],Transit Duration Error Upper [hrs],Eclipse Depth [%],Eclipse Depth Error Lower [%],Eclipse Depth Error Upper [%],Transit Flag,RV Flag,Survey,Discovery Year,Publication,Publication Date,Controversial Flag,Solution Type,Number of Transmission Spectra,Number of Emission Spectra,TTV Flag,Eclipse Flag,Publication Year,Publication Month,No. Desired Parameters,Prime Source,Inferred Parameters,ExoClock Orbital Parameters,Uniform Stellar Parameters,Calculated Parameters,Planet Albedo,Mean Molecular Weight,Heat Redistribution Factor,Assumed Parameters,ExoClock Priority,Transit Mid Time [days],ExoClock Ephemeris,Replaced Values,Transit,Transit Impact Parameter,Eclipse,Eclipse Impact Parameter,Transit Duration T14 [s],Transit Duration T12 [s],Transit Duration T23 [s],Eclipse Duration E14 [s],Eclipse Duration E12 [s],Eclipse Duration E23 [s],Planet Temperature [K],Planet Transit Temperature [K],Planet Eclipse Temperature [K],Eclipse Mid Time,Mass Flag,Planet Radius [Re],Expected Radial Velocity Amplitude [m/s],Expected Radial Velocity Amplitude Error Upper [m/s],Expected Radial Velocity Amplitude Error Lower [m/s],Planet Mass [Me],Planet Mass Error Upper [Me],Planet Mass Error Lower [Me],Planet Insolation Flux [W/m2],Planet Insolation Flux Error Upper [W/m2],Planet Insolation Flux Error Lower [W/m2],Planet Insolation Flux [Earth],Planet Insolation Flux Error Upper [Earth],Planet Insolation Flux Error Lower [Earth],Available Transits,Available Eclipses,Planet Semi-major Axis [m],Tier 1 Transits,Tier 2 Transits,Tier 3 Transits,Tier 1 Eclipses,Tier 2 Eclipses,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,FGS1_Flag,FGS2_Flag,FGS_Flag,Max Tier,Dayside Emitting Temperature [K],Known,TIC,TFOPWG Disposition,Creation Date,Planet Radius Error Lower [Re],Planet Radius Error Upper [Re],Transit Duration Error Lower [hr],Transit Duration Error Upper [hr],TOI Disposition,EXOFOP Disposition,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Updated,Public Comment,Sectors,FP_Flag,EB,VS,NASA PC,Star T Mag
WASP-43,0.69,-0.04,0.04,4500.0,-100.0,100.0,0.65,-0.01,0.01,4.5,-0.2,0.2,-0.01,-0.15,0.15,[Fe/H],7.0,-7.0,7.0,,2.26,-0.54,0.54,15.6,-0.4,0.4,86.7467,-0.3257,0.3281,11.4991,-0.0431134,0.0431134,,,TIC 36734222,Gaia DR2 3767805209112436736,13.796,12.39999962,9.397,,9.994999886,9.267000198,,,,,,11.1184,,11.907,9.152,9.225,9.134,8.469,154.9081869,-9.8064431,56.8007302,-0.0677704,0.0677704,-42.0435,-0.069006,0.069006,-38.1925,-0.0662422,0.0662422,WASP-43b,1.006,-0.017,0.017,0.1588,-0.004,0.004,,,,1.998,-0.079,0.079,551.0,-3.2,3.2,2.43,-0.14,0.14,0.813474056,2.1e-08,2.1e-08,0.01504,-0.00029,0.00029,4.97,-0.14,0.14,82.109,-0.088,0.088,0.689,-0.013,0.013,0.0,,,90.0,,,3.5,-6.8,6.8,20.0,,,2450000.0,3.1e-05,3.1e-05,2.529531749,,,1.164,-0.24,0.24,,,,1.0,1.0,SuperWASP,2011.0,<a refstr=ESPOSITO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...601A..53E/abstract target=ref>Esposito et al. 2017</a>,2017-05,0.0,Published Confirmed,72.0,23.0,True,True,2017.0,5.0,11.0,True,,False,False," Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Transit Mid Time, ",low,2457202.185,True,"Star Age [Gyr], ",TRUE,0.682326109,TRUE,0.682326109,4282.525303,1021.489901,2239.545502,4282.525303,1021.489901,2239.545502,1427.313329,1427.313329,1427.313329,2450000.407,False,11.27623462,,,,635.0211564,25.10844412,-25.10844412,952104.66,95598.76,92568.65,699.4731084,70.23257487,68.00647458,422,419,2249951975.0,3,34,68,1.0,1.0,1.0,Eclipse,1,1,1,0,0,0,3,1449.72541547676,True,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-47,1.11,-0.49,0.89,5576.0,-68.0,68.0,1.16,-0.26,0.26,4.35,-0.08,0.08,0.36,-0.05,0.05,[Fe/H],6.5,-1.2,2.6,,1.8,-0.16,0.24,31.2,-3.5,3.5,264.78,-4.716,4.888,3.74964,-0.0679499,0.0679499,,,TIC 102264230,Gaia DR2 2613413008919918976,12.736,11.98999977,10.31,,10.61299992,10.19200039,,,,,,11.29,11.762,11.7889,10.165,10.236,10.172,8.745,331.203092,-12.019067,43.9557276,-0.0913683,0.0913683,15.0235,-0.0898828,0.0898828,-41.3086,-0.091563,0.091563,WASP-47b,1.15,-0.25,0.25,0.10193,-0.00018,0.00018,,,,1.21,-0.39,0.59,142.0,-1.7,1.7,0.98,-0.21,0.21,4.15915035,6.3e-07,6.3e-07,0.052,-0.011,0.011,9.705,-0.047,0.047,89.02,-0.17,0.17,0.164634193,,,0.0028,-0.002,0.0042,30.0,-79.0,79.0,329.05,-0.01,0.03,,,,2456982.978,0.00015,0.00015,1.037888235,,,,,,,,,1.0,1.0,SuperWASP,2012.0,<a refstr=ALMENARA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...595L...5A/abstract target=ref>Almenara et al. 2016</a>,2016-10,0.0,Published Confirmed,0.0,0.0,True,False,2016.0,10.0,12.0,True,,False,False," Transit Impact Parameter, Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",high,2457182.616,True,"Projected Obliquity, ",TRUE,0.165755068,TRUE,0.166219833,12850.76951,1223.239928,10404.28965,12885.89009,1226.743316,10432.40346,1265.639433,1266.530035,1264.758133,2456985.064,False,12.89032784,,,,384.572372,187.5187599,-123.9530786,580300.05,24797.34,31383.86,426.3231731,18.21761117,23.05646325,81,82,7779089276.0,5,56,112,1.0,5.0,10.0,Eclipse,1,5,10,0,0,0,2,1290.5967484678822,True,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-5704,0.73,-0.08,0.08,4590.0,-126.0,126.0,0.76,-0.06,0.06,4.54,-0.1,0.1,0.428,-0.1,0.1,[Fe/H],,,,,,,,,,,89.637,-0.2687,0.2702,11.1273,-0.0332793,0.0332793,,,TIC 148673433,Gaia DR2 784983789642216320,13.172,12.40999985,9.159,,9.718000412,9.020999908,,,,,,10.6147,,11.2746,8.953,8.994,8.891,8.735,169.8248694,44.9890782,49.8758414,-0.0423042,0.0423042,47.3582,-0.0380988,0.0380988,-15.6461,-0.0699105,0.0699105,TOI-5704b,0.288,-0.012,0.017,0.0389,-0.0017,0.0023,,,,0.043293802,-0.017776888,0.030173514,,,,,,,3.771116,1.15e-05,1.15e-05,0.041334283,,,11.695,-2.486,1.048,88.94,-2.29,1.37,0.424,-0.272,0.223,0.0,,,0.0,,,,,,,,,2459610.757,0.0008,0.0008,0.151645203,,,,,,,,,1.0,0.0,Transiting Exoplanet Survey Satellite (TESS),2023.0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,2023-01,0.0,Published Confirmed,0.0,0.0,False,False,2023.0,1.0,10.0,True,,False,False," Planet Semi-major Axis, Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Planet Mass, ",high,2459610.757,True,,TRUE,0.216350889,TRUE,0.216350889,9024.064159,354.6533422,8314.757474,9024.064159,354.6533422,8314.757474,949.0685337,949.0685337,949.0685337,2459612.642,True,3.228186451,6.971468231,4.858748571,2.862557813,13.76,9.59,-5.65,187011.62,101899.27,37151.75,137.3899369,74.86130688,27.29390071,110,113,6183520740.0,4,44,89,40.0,277.0,540.0,Transit,4,44,89,0,0,0,1,964.5056057021236,True,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-672,0.54,-0.02,0.02,3765.0,-65.0,65.0,0.54,-0.02,0.02,4.7,-0.01,0.01,-0.71,-0.625,0.625,[Fe/H],,,,,,,,,,,66.9071,-0.15285,0.15285,14.9172,-0.0338933,0.0338933,,,TIC 151825527,Gaia DR2 5396580575830873728,15.094,13.57600021,9.698,,10.35999966,9.506999969,,,,,,11.6739,,12.7364,9.357,9.337,9.194,8.789,167.9908627,-39.3281151,113.2837986,-0.042635,0.042635,85.141,-0.0456548,0.0456548,-74.7277,-0.0383619,0.0383619,TOI-672b,0.469,-0.009,0.007,0.0885,-0.0017,0.0014,,,,0.08325247,-0.046251372,0.103672294,,,,,,,3.633575,1e-06,1e-06,0.038931945,,,15.503,-0.934,1.055,88.43,-0.52,0.82,0.424,-0.206,0.108,0.0,,,0.0,,,,,,,,,2458546.48,0.0002,0.0002,0.796579366,,,,,,,,,1.0,0.0,Transiting Exoplanet Survey Satellite (TESS),2023.0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230109865M/abstract target=ref>Mistry et al. 2023</a>,2023-01,0.0,Published Confirmed,0.0,0.0,False,False,2023.0,1.0,10.0,True,,False,False," Planet Semi-major Axis, Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Planet Mass, ",medium,2458546.48,True,,TRUE,0.424754919,TRUE,0.424754919,6467.034942,632.1183518,5202.798238,6467.034942,632.1183518,5202.798238,676.1485316,676.1485316,676.1485316,2458548.297,True,5.257011963,16.59096221,20.6603252,9.217201227,26.46,32.95,-14.7,48412.19,7703.7,6803.68,35.56649436,5.659599424,4.998390826,118,117,5824136034.0,1,11,21,18.0,118.0,233.0,Transit,1,11,21,0,0,0,2,687.1464206404843,True,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-199,0.94,-0.01,0.0,5255.0,-10.0,12.0,0.82,0.0,0.0,4.58,-0.01,0.0,0.22,-0.03,0.03,[Fe/H],0.8,-0.6,1.2,G9 V,0.5,-0.6,0.6,,,,102.27,-0.19,0.191,9.74907,-0.0180567,0.0180567,,,TIC 309792357,Gaia DR2 4762582895440787712,11.592,10.69999981,8.952,,9.329000473,8.81400013,,,,,,10.0391,,10.5784,8.761,8.824,8.764,8.753,80.1058735,-59.8954326,74.1998185,-0.0374945,0.0374945,45.702,-0.0372881,0.0372881,58.4546,-0.0376201,0.0376201,TOI-199b,0.81,-0.005,0.005,0.101509482,,,,,,0.17,-0.02,0.02,7.7,-1.1,1.1,,,,104.854,-0.002,0.001,0.4254,-0.002,0.002,111.5544866,,,90.0,,,0.45,-0.03,0.02,0.09,-0.02,0.01,350.0,-4.0,2.0,,,,,,,2458256.129,-0.0006,0.0006,1.030417485,,,,,,,,,1.0,1.0,Transiting Exoplanet Survey Satellite (TESS),2023.0,<a refstr=HOBSON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230914915H/abstract target=ref>Hobson et al. 2023</a>,2023-09,0.0,Published Confirmed,0.0,0.0,True,False,2023.0,9.0,8.0,True,,False,False," a/Rs, Rp/Rs, Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, ",,,,,TRUE,1.5e-09,TRUE,6.2e-10,28809.25138,2654.977404,23499.29657,27922.64094,2573.271575,22776.09779,351.8148781,350.4772305,355.9980844,2458314.465,False,9.079274392,,,,54.03082912,6.356568132,-6.356568132,,,,,,,11,12,63638934196.0,1,5,9,4128.0,22187.0,56322.0,Transit,1,5,9,0,0,0,2,357.5373216683036,True,,,,,,,,,,,,,,,,,,,,,,,,,
KELT-18,1.52,-0.07,0.07,6670.0,-120.0,120.0,1.91,-0.04,0.04,4.06,-0.01,0.01,0.09,-0.13,0.13,[Fe/H],1.9,-0.2,0.2,F4 V,12.3,-0.3,0.3,,,,321.376,-2.47,2.509,3.08284,-0.0239248,0.0239248,,,TIC 293687315,Gaia DR2 1612165353793791488,10.62,10.15999985,9.272,,9.454000473,9.210000038,,,,,,9.823,,10.1036,9.135,9.154,9.17,9.085,216.5238248,59.4442735,20.4082171,-0.0438013,0.0438013,-19.4503,-0.0439719,0.0439719,6.17909,-0.0420736,0.0420736,KELT-18b,1.57,-0.036,0.042,0.08462,-0.00091,0.00091,1.18,-0.11,0.11,1.18,-0.11,0.11,127.0,-11.0,11.0,0.377,-0.04,0.04,2.8716995,1.2e-06,1.2e-06,0.0455,-0.00069,0.00067,5.138,-0.078,0.038,88.86,-1.2,0.79,0.102,-0.071,0.1,0.0,,,0.0,,,,,,,,,2457542.525,0.00024,0.00024,0.716,-0.015,0.015,4.644,-0.024,0.0264,,,,1.0,1.0,KELT-North,2017.0,<a refstr=MCLEOD_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..263M/abstract target=ref>McLeod et al. 2017</a>,2017-06,0.0,Published Confirmed,0.0,0.0,False,False,2017.0,6.0,12.0,True,,False,False, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",low,2458676.846,True,,TRUE,0.102222774,TRUE,0.102222774,16725.77077,1333.175478,14059.41982,16725.77077,1333.175478,14059.41982,2080.720692,2080.720692,2080.720692,2457543.961,False,17.59809975,,,,375.0375198,34.96112473,-34.96112473,4223575.47,375017.66,284556.92,3102.891506,275.5104343,209.0525566,334,336,6806703117.0,1,8,15,1.0,1.0,2.0,Eclipse,1,1,2,0,0,0,3,2117.762715099996,True,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-176,1.34,-0.13,0.08,5941.0,-79.0,77.0,1.93,-0.04,0.05,4.0,-0.05,0.04,0.164,-0.082,0.081,[Fe/H],4.81,-0.191,0.191,F9,3.8,-1.0,1.0,,,,568.42,-11.458,11.93,1.73126,-0.035904,0.035904,,,TIC 375942197,Gaia DR2 1750321012752775040,12.717,12.01000023,10.689,,10.99100018,10.64799976,,,,,,11.5352,,11.9392,10.63,10.673,10.817,8.276,313.6872928,9.1790688,7.9298352,-0.0635555,0.0635555,-6.19208,-0.0644628,0.0644628,-4.95383,-0.0621113,0.0621113,WASP-176b,1.505,-0.045,0.05,0.080133596,-0.001247916,0.001247916,,,,0.855,-0.069,0.072,90.68467395,,,0.31,-0.042,0.042,3.89905,0.0001,0.0001,0.0535,-0.0019,0.001,5.960735921,,,86.7,-1.1,1.3,0.347,-0.12,0.098,0.0,,,0.0,,,,,,,,,2458234.177,0.0007,0.0007,0.64,-0.02,0.02,5.1528,-0.0456,0.0504,,,,1.0,1.0,SuperWASP-North,2020.0,<a refstr=COOKE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..255C/abstract target=ref>Cooke et al. 2020</a>,2020-06,0.0,Published Confirmed,0.0,0.0,False,False,2020.0,6.0,10.0,True,,False,False," a/Rs, Rp/Rs, Radial Velocity Amplitude, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",high,2458234.178,True,,TRUE,0.343123963,TRUE,0.343123963,18547.67891,1557.617045,15432.44482,18547.67891,1557.617045,15432.44482,1720.658221,1720.658221,1720.658221,2458236.127,False,16.869516,,,,271.7432876,22.88364527,-21.93016006,1972416.92,183460.7,150251.77,1449.055605,134.7812184,110.3839494,99,101,8003486082.0,2,26,52,1.0,5.0,9.0,Eclipse,1,5,9,0,0,0,2,1748.645580494196,True,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1801,0.56,-0.04,0.04,3863.0,-77.0,77.0,0.55,-0.02,0.03,4.78,-0.05,0.05,-0.19,-0.04,0.04,[Fe/H],0.7,-0.1,0.1,M0.5+/-0.5 V,3.0,,,15.98,-0.66,0.66,30.6796,-0.1677,0.1677,32.5678,-0.176801,0.176801,,HIP 57099,TIC 119584412,Gaia DR2 3980045523465047168,13.02,11.40999985,8.002,,8.649000168,7.804999828,16.4486,12.6586,11.0055,10.2729,10.7555,9.85623,,10.8269,7.66,7.669,7.591,7.34,175.5755995,23.0270335,209.1584457,-0.1831825,0.1831825,-205.015,-0.169023,0.169023,41.4259,-0.394588,0.394588,TOI-1801b,0.186,-0.01,0.011,0.034,-0.001,0.001,,,,0.01805,-0.00449,0.00458,2.459,-0.612,0.624,3.701,-1.051,1.217,10.64387,-6e-05,5e-05,0.078349212,,,30.632,-1.378,1.337,89.507,-0.362,0.333,0.265,-0.179,0.182,0.0,,,90.0,,,,,,,,,2458903.544,-0.00331,0.00325,0.120773429,,,,,,,,,1.0,0.0,Transiting Exoplanet Survey Satellite (TESS),2023.0,<a refstr=MALLORQU_IACUTE_N_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231010244M/abstract target=ref>Mallorqu&iacute;n et al. 2023</a>,2023-10,0.0,Published Confirmed,0.0,0.0,False,False,2023.0,10.0,11.0,True,,False,False," Planet Semi-major Axis, Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, ",,,,,TRUE,0.263568971,TRUE,0.263568971,9556.820214,337.0181322,8882.78395,9556.820214,337.0181322,8882.78395,493.5396328,493.5396328,493.5396328,2458908.865,False,2.084870416,,,,5.736802739,1.455654102,-1.427049546,13603.83,1683.03,1552.97,9.994188303,1.236454641,1.140904775,32,31,11720875320.0,5,34,67,2877.0,11495.0,25592.0,Transit,5,34,67,0,0,0,1,501.56730061090894,True,,,,,,,,,,,,,,,,,,,,,,,,,
WASP-4,0.93,-0.05,0.05,5500.0,-100.0,100.0,0.9,-0.02,0.02,4.5,-0.2,0.2,-0.03,-0.09,0.09,[Fe/H],7.0,-2.9,2.9,G8,2.14,-0.35,0.38,22.2,-3.3,3.3,267.206,-3.67,3.771,3.71451,-0.0517115,0.0517115,,,TIC 402026209,Gaia DR2 6535499658122055552,13.514,12.47999954,10.842,,11.1789999,10.74600029,,,,,,11.8295,,12.3162,10.684,10.748,10.721,8.465,353.5629149,-42.0617794,88.072915,-0.0479378,0.0479378,9.87373,-0.052658,0.052658,-87.5177,-0.0478747,0.0478747,WASP-4b,1.341,-0.029,0.023,0.15275,-0.00024,0.00014,,,,1.25,-0.051,0.05,242.1,-3.1,2.8,,,,1.338231388,2.2e-08,2.2e-08,0.0232,-0.00045,0.00044,5.53128,-0.0113,0.01227,89.47,-0.24,0.51,0.051,-0.049,0.023,0.0,,,0.0,,,,,,,,,2454387.328,2.4e-05,2.4e-05,2.3334,-0.0072,0.0044,2.12832,-0.000336,0.00192,,,,1.0,1.0,SuperWASP,2007.0,<a refstr=TRIAUD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A&A...524A..25T/abstract target=ref>Triaud et al. 2010</a>,2010-12,0.0,Published Confirmed,16.0,4.0,False,True,2010.0,12.0,12.0,True,,False,False, ,0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, ",low,2456139.074,True,"Star Age [Gyr], Star Rotation Period [days], ",TRUE,0.051164966,TRUE,0.051164966,7719.40626,1034.932738,5649.540783,7719.40626,1034.932738,5649.540783,1653.616777,1653.616777,1653.616777,2454387.997,False,15.03124316,,,,397.2855082,15.89142033,-16.20924874,1713063.78,120546.16,145625.74,1258.519255,88.5604291,106.9853907,317,316,3470670600.0,2,15,31,1.0,1.0,2.0,Eclipse,1,1,2,0,0,0,3,1678.7283721519354,True,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1693,0.49,-0.03,0.03,3499.0,-70.0,70.0,0.46,-0.01,0.01,4.8,-0.03,0.03,,,,,,,,,,,,,,,30.7947,-0.0391,0.0391,32.4443,-0.0409149,0.0409149,,,TIC 353475866,Gaia DR2 3451908921382409472,14.324,12.78999996,8.533,,9.192000389,8.331000328,,,,,,10.6714,,11.8373,8.182,8.103,8.028,8.066,90.3083455,34.7730904,28.8738864,-0.0785612,0.0785612,-22.7621,-0.0839373,0.0839373,-17.7648,-0.0688305,0.0688305,TOI-1693b,0.126,-0.009,0.009,0.02814804,,,,,,0.01126394,-0.003146352,0.004373429,,,,,,,1.7666957,5.4e-06,5.4e-06,0.0226,-0.0004,0.0004,10.5646233,,,88.37277257,,,0.3,-0.14,0.14,0.0,,,0.0,,,,,,,,,2458817.683,0.0014,0.0014,0.079231215,,,,,,,,,1.0,0.0,Transiting Exoplanet Survey Satellite (TESS),2022.0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,2022-02,0.0,Published Confirmed,0.0,0.0,False,False,2022.0,2.0,7.0,True,,False,False," a/Rs, Inclination, Rp/Rs, Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Planet Mass, ",high,2458817.683,True,,TRUE,0.3,TRUE,0.3,4531.161615,136.3240717,4258.513472,4531.161615,136.3240717,4258.513472,761.2055333,761.2055333,761.2055333,2458818.566,True,1.412331572,3.04561662,1.18251595,0.850730899,3.58,1.39,-1.0,74596.82,6341.28,7792.39,54.80329186,4.658684091,5.72475641,204,204,3380911878.0,9,99,196,266.0,1667.0,3287.0,Transit,9,99,196,0,0,0,1,773.5869191024531,True,,,,,,,,,,,,,,,,,,,,,,,,,
K2-399,0.78,-0.11,0.13,5690.0,-38.0,38.0,1.54,-0.05,0.05,3.96,-0.06,0.06,0.252,-0.036,0.036,[Fe/H],,,,,,,,,,,515.491,-11.793,12.347,1.91158,-0.0450671,0.0450671,,,TIC 374200604,Gaia DR2 3855957797955377408,13.14,12.478,10.945,,11.258,10.93,,,,,,11.869,12.31,12.3147,10.84,10.885,10.821,8.902,158.0734448,2.2378452,19.5754556,-0.0656201,0.0656201,-1.10929,-0.0678185,0.0678185,-19.544,-0.0656129,0.0656129,K2-399b,0.54,-0.043,0.093,0.0359,-0.003,0.006,,,,0.100651796,-0.059434587,0.145267066,,,,,,,0.759978,-1e-05,1e-05,0.01353565,,,1.89,-0.09,0.09,58.97955446,,,0.974,-0.008,0.012,0.0,,,0.0,,,,,,,,,2457906.219,-0.0006,0.0006,0.129842529,,,,,,,,,1.0,0.0,K2,2022.0,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,2022-03,0.0,Published Confirmed,0.0,0.0,False,False,2022.0,3.0,9.0,True,,False,False," Planet Semi-major Axis, Inclination, Transit Depth, ",0.2,2.3,0.8,"Planet Albedo, Heat Redistribution Factor, Mean Molecular Weight, Eccentricity, Periastron, Planet Mass, ",,,,,Semi-Grazing,0.974,Semi-Grazing,0.974,4588.356431,2293.425132,1.506167798,4588.356431,2293.425132,1.506167798,2926.620204,2926.620204,2926.620204,2457906.599,True,6.052849595,22.67124066,32.72057459,13.38730028,31.99,46.17,-18.89,16584300.99,1884096.26,1798832.47,12183.8208,1384.169958,1321.530071,429,427,2024904420.0,9,132,263,10.0,81.0,161.0,Eclipse,10,81,161,0,0,0,1,2974.2231354841647,True,,,,,,,,,,,,,,,,,,,,,,,,,
